domain,company,title,url,crawled_at
techcrunch,,Elon Musk’s only expert witness at the OpenAI trial fears an AGI arms race,https://techcrunch.com/2026/05/04/elon-musks-only-expert-witness-at-the-openai-trial-fears-an-agi-arms-race/,2026-05-05 01:14:39
techcrunch,,Sierra raises $950M as the race to own enterprise AI gets serious,https://techcrunch.com/2026/05/04/sierra-raises-950m-as-the-race-to-own-enterprise-ai-gets-serious/,2026-05-05 01:14:39
techcrunch,,"Elon Musk sent ominous texts to Greg Brockman, Sam Altman after asking for a settlement, OpenAI claims",https://techcrunch.com/2026/05/04/elon-musk-sent-ominous-texts-to-greg-brockman-sam-altman-after-asking-for-a-settlement-openai-claims/,2026-05-05 01:14:39
techcrunch,,Anthropic and OpenAI are both launching joint ventures for enterprise AI services,https://techcrunch.com/2026/05/04/anthropic-and-openai-are-both-launching-joint-ventures-for-enterprise-ai-services/,2026-05-05 01:14:39
techcrunch,,"As X shuts down Communities, Acorn debuts an alternative that puts creators in control",https://techcrunch.com/2026/05/04/as-x-shuts-down-communities-acorn-debuts-an-alternative-that-puts-creators-in-control/,2026-05-05 01:14:39
techcrunch,,US healthcare marketplaces shared citizenship and race data with ad tech giants,https://techcrunch.com/2026/05/04/us-healthcare-marketplaces-shared-citizenship-and-race-data-with-ad-tech-giants/,2026-05-04 23:30:04
techcrunch,,Amazon opens up its global logistics network to all businesses,https://techcrunch.com/2026/05/04/amazon-opens-up-its-global-logistics-network-to-all-businesses/,2026-05-04 23:30:04
techcrunch,,5 days only: Bring a partner or colleague and get 50% off a second TechCrunch Disrupt 2026 pass,https://techcrunch.com/2026/05/04/5-days-only-bring-a-partner-or-colleague-and-get-50-off-a-second-techcrunch-disrupt-2026-pass/,2026-05-04 23:30:04
techcrunch,,Barocal can cool your food and drink by squeezing a hunk of plastic crystals,https://techcrunch.com/2026/05/04/barocal-can-cool-your-food-and-drink-by-squeezing-a-hunk-of-plastic-crystals/,2026-05-04 21:07:34
techcrunch,,"Doordash adds AI tools to speed up merchant onboarding, edit photos of dishes",https://techcrunch.com/2026/05/04/doordash-adds-ai-tools-to-speed-up-merchant-onboarding-edit-photos-of-dishes/,2026-05-04 21:07:34
techcrunch,,Ouster’s new color lidar is coming to replace cameras,https://techcrunch.com/2026/05/04/ousters-new-color-lidar-is-coming-to-replace-cameras/,2026-05-04 19:22:02
techcrunch,,Nicolas Sauvage is betting on the boring parts of AI,https://techcrunch.com/2026/05/04/nicolas-sauvage-is-betting-on-the-boring-parts-of-ai/,2026-05-04 17:03:05
techcrunch,,We’ll take it: a TikToker rallies pledges to buy Spirit Airlines after its abrupt weekend collapse,https://techcrunch.com/2026/05/03/well-take-it-a-tiktoker-rallies-pledges-to-buy-spirit-airlines-after-its-abrupt-weekend-collapse/,2026-05-04 10:38:52
techcrunch,,‘This is fine’ creator says AI startup stole his art,https://techcrunch.com/2026/05/03/this-is-fine-creator-says-ai-startup-stole-his-art/,2026-05-04 04:42:09
techcrunch,,"In Harvard study, AI offered more accurate diagnoses than emergency room doctors",https://techcrunch.com/2026/05/03/in-harvard-study-ai-offered-more-accurate-diagnoses-than-emergency-room-doctors/,2026-05-04 02:10:34
techcrunch,,TechCrunch Mobility: How do you issue a ticket to a robotaxi?,https://techcrunch.com/2026/05/03/techcrunch-mobility-how-do-you-issue-a-ticket-to-a-robotaxi/,2026-05-04 00:08:48
techcrunch,,"This tiny, magnetic e-reader could stop you from doomscrolling",https://techcrunch.com/2026/05/03/xteink-x3-review-tiny-magnetic-ereader/,2026-05-03 21:09:02
techcrunch,,AI-generated actors and scripts are now ineligible for Oscars,https://techcrunch.com/2026/05/02/ai-generated-actors-and-scripts-are-now-ineligible-for-oscars/,2026-05-03 06:40:55
techcrunch,,"Farewell, Jeeves: Ask.com shuts down",https://techcrunch.com/2026/05/02/farewell-jeeves-ask-com-shuts-down/,2026-05-03 05:40:31
techcrunch,,Netflix delays Greta Gerwig’s ‘Narnia’ movie for big theatrical push in 2027,https://techcrunch.com/2026/05/02/netflix-delays-greta-gerwigs-narnia-movie-for-big-theatrical-push-in-2027/,2026-05-03 01:14:13
techcrunch,,"The best AI dictation apps, tested and ranked",https://techcrunch.com/2026/05/02/the-best-ai-powered-dictation-apps-of-2025/,2026-05-03 00:10:21
techcrunch,,Beyond Lovable and Mistral: 21 European startups to watch,https://techcrunch.com/2026/05/02/beyond-lovable-and-mistral-21-european-startups-to-watch/,2026-05-02 22:30:23
techcrunch,,Uber wants to turn its millions of drivers into a sensor grid for self-driving companies,https://techcrunch.com/2026/05/01/uber-wants-to-turn-its-millions-of-drivers-into-a-sensor-grid-for-self-driving-companies/,2026-05-02 15:01:11
techcrunch,,"Replit’s Amjad Masad on the Cursor deal, fighting Apple, and why he’d rather not sell",https://techcrunch.com/2026/05/01/replits-amjad-masad-on-the-cursor-deal-fighting-apple-and-why-hed-rather-not-sell/,2026-05-02 07:27:03
techcrunch,,Musely secures $360M from General Catalyst without giving up equity,https://techcrunch.com/2026/05/01/musely-secures-360m-from-general-catalyst-without-giving-up-equity/,2026-05-02 07:27:03
techcrunch,,Meta buys robotics startup to bolster its humanoid AI ambitions,https://techcrunch.com/2026/05/01/meta-buys-robotics-startup-to-bolster-its-humanoid-ai-ambitions/,2026-05-02 07:27:03
techcrunch,,"Coatue has a plan to buy up land for data centers, possibly for Anthropic",https://techcrunch.com/2026/05/01/coatue-has-a-plan-to-buy-up-land-for-data-centers-possibly-for-anthropic/,2026-05-02 02:38:35
techcrunch,,Musk v. Altman is just getting started,https://techcrunch.com/video/musk-v-altman-is-just-getting-started/,2026-05-02 02:38:35
techcrunch,,Did you know you can’t steal a charity? Don’t worry. Elon Musk will remind you.,https://techcrunch.com/podcast/did-you-know-you-cant-steal-a-charity-dont-worry-elon-musk-will-remind-you/,2026-05-02 02:38:35
techcrunch,,"Pentagon inks deals with Nvidia, Microsoft, and AWS to deploy AI on classified networks",https://techcrunch.com/2026/05/01/pentagon-inks-deals-with-nvidia-microsoft-and-aws-to-deploy-ai-on-classified-networks/,2026-05-02 01:01:27
techcrunch,,Ubuntu services hit by outages after DDoS attack,https://techcrunch.com/2026/05/01/ubuntu-services-hit-by-outages-after-ddos-attack/,2026-05-01 23:57:37
techcrunch,,People are finally using Reddit’s search,https://techcrunch.com/2026/05/01/people-are-finally-using-reddits-search/,2026-05-01 21:18:03
techcrunch,,"ChatGPT Images 2.0 is a hit in India, but not a big winner elsewhere, yet",https://techcrunch.com/2026/04/30/chatgpt-images-2-0-is-a-hit-in-india-but-not-a-big-winner-elsewhere-yet/,2026-05-01 10:58:10
techcrunch,,"As Tim Cook steps down, Apple hit record sales — but a chip shortage looms",https://techcrunch.com/2026/04/30/as-tim-cook-steps-down-apple-hit-record-sales-but-a-chip-shortage-looms/,2026-05-01 10:58:10
techcrunch,,"Y Combinator alum Skio sells for $105M cash, only raised $8M, founder says",https://techcrunch.com/2026/04/30/y-combinator-alum-skio-sells-for-105m-cash-only-raised-8m-founder-says/,2026-05-01 10:58:10
techcrunch,,Sources: Anthropic potential $900B+ valuation round could happen within 2 weeks,https://techcrunch.com/2026/04/30/anthropic-potential-900b-valuation-round-could-happen-within-two-weeks/,2026-05-01 07:52:42
techcrunch,,Rivian downsizes DOE loan to $4.5B of Georgia factory,https://techcrunch.com/2026/04/30/rivian-downsizes-doe-loan-to-4-5b-of-georgia-factory/,2026-05-01 07:52:42
techcrunch,,Apple was surprised by AI-driven demand for Macs,https://techcrunch.com/2026/04/30/apple-was-surprised-by-ai-driven-demand-for-macs/,2026-05-01 06:53:58
techcrunch,,Legal AI startup Legora hits $5.6 valuation and its battle with Harvey just got hotter,https://techcrunch.com/2026/04/30/legal-ai-startup-legora-hits-5-6-valuation-and-its-battle-with-harvey-just-got-hotter/,2026-05-01 04:39:13
techcrunch,,"Rivian downsizes DOE loan to $4.5B, while boosting capacity of Georgia factory",https://techcrunch.com/2026/04/30/rivian-downsizes-doe-loan-to-4-5b-while-boosting-capacity-of-georgia-factory/,2026-05-01 04:39:13
techcrunch,,"Hackers are actively exploiting a bug in cPanel, used by millions of websites",https://techcrunch.com/2026/04/30/hackers-are-actively-exploiting-a-bug-in-cpanel-used-by-millions-of-websites/,2026-05-01 04:39:13
techcrunch,,"After dissing Anthropic for limiting Mythos, OpenAI restricts access to Cyber, too",https://techcrunch.com/2026/04/30/after-dissing-anthropic-for-limiting-mythos-openai-restricts-access-to-cyber-too/,2026-05-01 04:39:13
techcrunch,,EV startup Faraday Future paid $7.5M to company tied to founder Jia Yueting,https://techcrunch.com/2026/04/30/ev-startup-faraday-future-paid-7-5m-to-company-tied-to-founder-jia-yueting/,2026-05-01 03:20:49
techcrunch,,"OpenAI announces new advanced security for ChatGPT accounts, including a partnership with Yubico",https://techcrunch.com/2026/04/30/openai-announces-new-advanced-security-for-chatgpt-accounts-including-a-partnership-with-yubico/,2026-05-01 03:20:49
techcrunch,,Elon Musk testifies that xAI trained Grok on OpenAI models,https://techcrunch.com/2026/04/30/elon-musk-testifies-that-xai-trained-grok-on-openai-models/,2026-05-01 03:20:49
techcrunch,,"FDA approval, fundraising, and the reality of building in healthcare according to BioticsAI founder",https://techcrunch.com/2026/04/30/fda-approval-fundraising-and-the-reality-of-building-in-healthcare-according-to-bioticsai-founder/,2026-05-01 03:20:49
techcrunch,,Google’s Gemini AI assistant is hitting the road in millions of vehicles,https://techcrunch.com/2026/04/30/googles-gemini-ai-assistant-is-hitting-the-road-in-millions-of-vehicles/,2026-05-01 01:50:38
techcrunch,,TikTok’s new ‘Campus Hub’ features college group chats and feeds,https://techcrunch.com/2026/04/30/tiktoks-new-campus-hub-features-college-group-chats-and-feeds/,2026-05-01 01:50:38
techcrunch,,"Stripe introduces Link, a digital wallet that autonomous AI agents can use, too",https://techcrunch.com/2026/04/30/stripe-link-digital-wallet-ai-agents-shopping/,2026-05-01 01:50:38
